Time,Reporter,Type,Content,Screenshot,RTF Note
12/9/2016 7:19:27 AM,Grzegorz Gwarda,(Rapid Reporter version),"1.16.05.20",,
12/9/2016 7:19:27 AM,Grzegorz Gwarda,Session Reporter,"Grzegorz Gwarda",,
12/9/2016 7:19:27 AM,Grzegorz Gwarda,Session Charter,"1 Logowanie do strony",,
12/9/2016 7:19:31 AM,Grzegorz Gwarda,Setup,"Opera",,
12/9/2016 7:19:42 AM,Grzegorz Gwarda,Setup,"windows 10 64-bit",,
12/9/2016 7:19:51 AM,Grzegorz Gwarda,Setup,"mrbugg2",,
12/9/2016 7:20:31 AM,Grzegorz Gwarda,Test,"Wchodze na strone mrbuggy2",,
12/9/2016 7:20:33 AM,Grzegorz Gwarda,autogenerated,"screenshot saved",1_20161209_072033.jpg,
12/9/2016 7:21:22 AM,Grzegorz Gwarda,Test,"Proba logowania",1_20161209_072033.jpg,
12/9/2016 7:21:34 AM,Grzegorz Gwarda,autogenerated,"screenshot saved",2_20161209_072134.jpg,
12/9/2016 7:22:29 AM,Grzegorz Gwarda,Bug,"Zle podany adres e-mail",2_20161209_072134.jpg,
12/9/2016 7:22:31 AM,Grzegorz Gwarda,autogenerated,"screenshot saved",3_20161209_072231.jpg,
12/9/2016 7:24:29 AM,Grzegorz Gwarda,Note,"Podejme probuje ponownego  zalogowania na uzytkownika ''admin@tc2014.pl''",3_20161209_072231.jpg,
12/9/2016 7:25:19 AM,Grzegorz Gwarda,Test,"Proba 2 logowania",,
12/9/2016 7:25:21 AM,Grzegorz Gwarda,autogenerated,"screenshot saved",4_20161209_072521.jpg,
12/9/2016 7:26:08 AM,Grzegorz Gwarda,Note,"Logowanie powiodlo sie",4_20161209_072521.jpg,
12/9/2016 7:26:10 AM,Grzegorz Gwarda,autogenerated,"screenshot saved",5_20161209_072610.jpg,
12/9/2016 7:26:45 AM,Grzegorz Gwarda,Session End. Duration,"00:07:18",,
